DEBUG 1: [Source 1 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2015100100/track.fort.64.suite1.2015100100.AL.11, Model Suffix: (nul)
DEBUG 1: [Source 2 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2015100100/track.fort.64.suite1.2015100100.EP.17, Model Suffix: (nul)
DEBUG 1: [Source 3 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2015100100/track.fort.64.suite1.2015100100.WP.22, Model Suffix: (nul)
DEBUG 1: [Source 4 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016010100/track.fort.64.suite1.2016010100.CP.09, Model Suffix: (nul)
DEBUG 1: [Source 5 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016010100/track.fort.64.suite1.2016010100.SP.06, Model Suffix: (nul)
DEBUG 1: [Source 6 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016010612/track.fort.64.suite1.2016010612.SP.06, Model Suffix: (nul)
DEBUG 1: [Source 7 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016011100/track.fort.64.suite1.2016011100.CP.01, Model Suffix: (nul)
DEBUG 1: [Source 8 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016011100/track.fort.64.suite1.2016011100.SP.06, Model Suffix: (nul)
DEBUG 1: [Source 9 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016011612/track.fort.64.suite1.2016011612.SP.07, Model Suffix: (nul)
DEBUG 1: [Source 10 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016011812/track.fort.64.suite1.2016011812.SP.07, Model Suffix: (nul)
DEBUG 1: [Source 11 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016012100/track.fort.64.suite1.2016012100.CP.80, Model Suffix: (nul)
DEBUG 1: [Source 12 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016012100/track.fort.64.suite1.2016012100.SP.07, Model Suffix: (nul)
DEBUG 1: [Source 13 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016012612/track.fort.64.suite1.2016012612.SI.08, Model Suffix: (nul)
DEBUG 1: [Source 14 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016021512/track.fort.64.suite1.2016021512.SI.13, Model Suffix: (nul)
DEBUG 1: [Source 15 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016021512/track.fort.64.suite1.2016021512.SP.11, Model Suffix: (nul)
DEBUG 1: [Source 16 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016022000/track.fort.64.suite1.2016022000.SI.13, Model Suffix: (nul)
DEBUG 1: [Source 17 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016022000/track.fort.64.suite1.2016022000.SP.11, Model Suffix: (nul)
DEBUG 1: [Source 18 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016022512/track.fort.64.suite1.2016022512.SP.14, Model Suffix: (nul)
DEBUG 1: [Source 19 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016030612/track.fort.64.suite1.2016030612.CP.81, Model Suffix: (nul)
DEBUG 1: [Source 20 of 928] ADECK Source: /scratch4/BMC/gmtb/Man.Zhang/_MET/MET-TC_phys_Test/TRACKER-Phys_Test/suite1/2016031612/track.fort.64.suite1.2016031612.SI.15, Model Suffix: (nul)
